track,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,labels,track_genre
Dani California,1.139427266,0.195911131,1.150396127,1.082272603,-0.316043004,-0.95475053,-0.741739348,1.327735842,1.36925934,-0.802566524,2,rock
Dark Side of the Gym,1.266169532,0.72036273,-0.163807792,-0.008918918,-0.650669889,0.749834166,1.216792912,-0.350278737,0.270232618,-0.524195951,0,rock
Darkest Hour,-0.500409635,1.037472999,-0.511861798,-0.57611168,-0.3839044,0.474862247,1.097186582,-0.224056402,-0.146365959,0.232430383,0,other
Dawning,-0.070655418,0.012962899,-0.175809655,-0.07660561,-0.34646363,0.54239921,1.294038668,-0.528474976,-0.392357499,0.049560511,3,other
Day 5: For Carol,2.940020587,-0.237066352,-0.09779755,0.157824413,-0.617909215,0.843903507,1.465972768,-0.261180618,-1.269198313,-0.635171634,3,jazz
De Fléche,0.355008792,-0.541980072,-0.589873903,-0.54956788,-0.617909215,0.609936172,1.336399243,-0.617573095,-1.233489864,-0.99177684,3,other
Dear Diary,0.097322419,-0.304147371,-0.358838054,0.236128625,0.168346964,0.414561387,-0.74175086,-0.394827797,-0.059078638,0.232716957,0,other
Deep Dark Jungle,-1.040514139,0.384957637,1.321422664,0.82262597,3.715859965,-1.00032592,1.181907733,0.258558411,-0.947822268,0.339608965,1,electro
Den inre skogen,0.300608513,0.049552545,-0.44285109,-0.766503125,-0.067997899,1.227416974,0.778236367,-0.246330932,-1.34656662,0.302676773,3,other
Desire Lines,3.972811084,-0.883483439,0.367274613,0.714761615,-0.578128397,-1.00089516,-0.731046019,-0.669546998,-1.239838033,0.087638998,0,pop
Devotion And Desire,-0.019418503,-1.389640215,1.111390074,0.773640592,0.818880351,-0.999609546,-0.741760752,1.27576194,-0.392357499,2.352323851,2,pop
Dew Drops,1.993791239,-1.54819535,-1.473811059,-1.590567487,-0.493886663,1.263597489,1.590562696,-0.498775603,-1.246186201,-2.105545706,3,other
